,County,Zip_Code
1011,Los Angeles County,91104
1012,Placer County,95602
1013,Sonoma County,95436
1014,Los Angeles County,90602
1015,San Joaquin County,95215
1016,Los Angeles County,91331
1017,El Dorado County,95634
1018,Stanislaus County,95367
1019,Sacramento County,95823
1020,Butte County,95917
1021,Los Angeles County,93534
1022,Los Angeles County,91605
1023,Marin County,94946
1024,Los Angeles County,90505
1025,Contra Costa County,94513
1026,Los Angeles County,93510
1027,Tehama County,96059
1028,Alameda County,94501
1029,Los Angeles County,91607
1030,Los Angeles County,90026
1031,San Joaquin County,95205
1032,Los Angeles County,90290
1033,Orange County,90623
1034,Butte County,95973
1035,Riverside County,92591
1036,Los Angeles County,90065
1037,Sonoma County,95421
1038,Stanislaus County,95357
1039,Santa Barbara County,93105
1040,Humboldt County,95528
1041,Los Angeles County,91010
1042,El Dorado County,95682
1043,El Dorado County,95735
1044,Riverside County,91752
1045,Los Angeles County,91606
1046,Sacramento County,95835
1047,Los Angeles County,90805
1048,Los Angeles County,90023
1049,Sacramento County,95816
1050,San Diego County,92139
1051,Riverside County,92253
1052,Monterey County,93907
1053,San Luis Obispo County,93432
1054,Stanislaus County,95382
1055,Santa Clara County,95030
1056,Riverside County,92506
1057,Los Angeles County,90043
1058,Yolo County,95637
1059,Sonoma County,94931
1060,Fresno County,93728
1061,Los Angeles County,90701
1062,Riverside County,92264
1063,Los Angeles County,90046
1064,Los Angeles County,90077
1065,Los Angeles County,91406
1066,Marin County,94956
1067,Los Angeles County,90056
1068,Santa Barbara County,93103
1069,Riverside County,92220
1070,San Francisco County,94134
1071,Orange County,92866
1072,Orange County,92701
1073,Fresno County,93657
1074,San Diego County,92120
1075,Santa Clara County,95032
1076,Los Angeles County,91504
1077,San Bernardino County,92401
1078,Placer County,95663
1079,Glenn County,95943
1080,Santa Barbara County,93101
1081,Sonoma County,94952
1082,San Bernardino County,91762
1083,Riverside County,92592
1084,Orange County,92662
1085,San Diego County,92027
1086,Humboldt County,95501
1087,Sacramento County,95818
1088,Madera County,93644
1089,Mendocino County,95488
1090,Los Angeles County,91105
1091,Los Angeles County,90604
1092,San Diego County,91932
1093,Monterey County,95012
1094,Los Angeles County,90746
1095,Ventura County,93001
1096,Los Angeles County,91773
1097,Orange County,92649
1098,Los Angeles County,91202
1099,Yolo County,95637
1100,Trinity County,96048
1101,Riverside County,92503
1102,Kern County,93307
1103,Contra Costa County,94804
1104,Orange County,92629
1105,Santa Clara County,94043
1106,Humboldt County,95562
1107,Butte County,95948
1108,San Diego County,92061
1109,Santa Barbara County,93105
1110,Monterey County,93907
1111,Placer County,95713
1112,Santa Clara County,95139
1113,Solano County,95688
1114,Riverside County,92544
1115,Los Angeles County,90403
1116,Contra Costa County,94518
1117,El Dorado County,95623
1118,Santa Clara County,95110
1119,Kings County,93212
1120,Siskiyou County,96023
1121,Amador County,95629
1122,Los Angeles County,90402
1123,Orange County,92660
1124,Solano County,95687
1125,Santa Clara County,95113
1126,Orange County,92868
1127,San Luis Obispo County,93461
1128,San Bernardino County,92354
1129,Fresno County,93660
1130,Humboldt County,95555
1131,Madera County,93638
1132,Los Angeles County,93563
1133,El Dorado County,95684
1134,Contra Costa County,94549
1135,San Bernardino County,92410
1136,San Bernardino County,92408
1137,Riverside County,92570
1138,Lake County,95485
1139,Nevada County,95959
1140,Orange County,90620
1141,El Dorado County,95634
1142,Los Angeles County,91106
1143,Alameda County,94545
1144,Los Angeles County,91733
1145,Sacramento County,95662
1146,Lassen County,96128
1147,Los Angeles County,91766
1148,San Joaquin County,95258
1149,Monterey County,93426
1150,Los Angeles County,90242
1151,Santa Clara County,94087
1152,Santa Cruz County,95064
1153,Trinity County,95552
1154,San Luis Obispo County,93430
1155,Humboldt County,95564
1156,Los Angeles County,90201
1157,Alameda County,94619
1158,Los Angeles County,90272
1159,Los Angeles County,90029
1160,Sonoma County,95436
1161,Humboldt County,95521
1162,Sacramento County,95833
1163,San Bernardino County,92373
1164,Marin County,94972
